,Rk,Player,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
199,193,David Jurásek,DF,cz Czechia,23-341,2000,1.8,3,2,2,1,0,2,5,40.0,3,1,1,0,1,4,2,0,Matches
200,194,Matěj Jurásek,"DF,MF",cz Czechia,20-318,2003,0.5,2,1,0,1,1,2,4,50.0,2,0,0,0,0,2,1,0,Matches
201,195,Ferdi Kadioglu,"DF,MF",tr Türkiye,24-280,1999,5.0,18,12,9,7,2,10,13,76.9,3,5,1,4,7,25,10,0,Matches
202,196,İrfan Kahveci,FW,tr Türkiye,28-364,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
203,197,Otar Kakabadze,"DF,MF",ge Georgia,29-016,1995,4.0,12,8,10,1,1,10,18,55.6,8,3,1,2,4,16,8,0,Matches
204,198,Harry Kane,FW,eng England,30-351,1993,6.0,4,3,2,2,0,1,3,33.3,2,1,1,0,1,5,0,0,Matches
205,199,N'Golo Kanté,MF,fr France,33-106,1991,5.7,12,9,6,3,3,4,5,80.0,1,6,1,5,6,18,7,0,Matches
206,200,Žan Karničnik,DF,si Slovenia,29-299,1994,4.3,8,4,7,1,0,7,12,58.3,5,5,3,2,8,16,11,0,Matches
208,201,Guram Kashia,DF,ge Georgia,37-009,1987,4.0,7,4,5,2,0,4,4,100.0,0,13,12,1,1,8,31,1,Matches
209,202,Milos Kerkez,DF,hu Hungary,20-249,2003,2.6,4,2,3,1,0,3,5,60.0,2,0,0,0,0,4,7,1,Matches
210,203,Semih Kılıçsoy,FW,tr Türkiye,18-333,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
211,204,Joshua Kimmich,DF,de Germany,29-156,1995,5.3,7,4,5,0,2,4,12,33.3,8,6,2,4,6,13,6,0,Matches
212,205,Otar Kiteishvili,MF,ge Georgia,28-109,1996,1.4,4,4,4,0,0,2,6,33.3,4,3,1,2,0,4,3,0,Matches
213,206,Jakub Kiwior,DF,pl Poland,24-149,2000,3.0,7,4,6,1,0,3,5,60.0,2,4,2,2,5,12,9,0,Matches
214,207,László Kleinheisler,MF,hu Hungary,30-096,1994,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
215,208,Giorgi Kochorashvili,MF,ge Georgia,25-014,1999,4.0,9,5,5,4,0,5,6,83.3,1,6,4,2,5,14,6,1,Matches
216,209,Orkun Kökçü,MF,tr Türkiye,23-197,2000,2.5,3,2,2,0,1,1,4,25.0,3,3,1,2,1,4,2,0,Matches
217,210,Randal Kolo Muani,FW,fr France,25-221,1998,2.2,1,0,1,0,0,1,1,100.0,0,2,1,1,1,2,4,0,Matches
218,211,Yukhym Konoplia,DF,ua Ukraine,24-322,1999,0.8,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0,Matches
219,212,Ezri Konsa,DF,eng England,26-264,1997,1.0,2,0,2,0,0,1,1,100.0,0,3,2,1,0,2,8,0,Matches
220,213,Filip Kostić,DF,rs Serbia,31-255,1992,0.5,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,1,0,Matches
221,214,Jules Koundé,DF,fr France,25-244,1998,6.3,18,12,7,5,6,10,17,58.8,7,5,0,5,2,20,22,0,Matches
222,215,Mateo Kovačić,MF,hr Croatia,30-068,1994,2.5,8,6,2,5,1,2,5,40.0,3,2,1,1,3,11,0,0,Matches
223,216,Matej Kovar,GK,cz Czechia,24-057,2000,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
224,217,Andrej Kramarić,FW,hr Croatia,33-024,1991,2.7,0,0,0,0,0,0,0,,0,3,1,2,1,1,1,0,Matches
225,218,Ladislav Krejčí,DF,cz Czechia,25-084,1999,3.0,3,2,3,0,0,0,3,0.0,3,1,1,0,5,8,9,0,Matches
226,219,Toni Kroos,MF,de Germany,34-191,1990,5.2,9,4,4,4,1,3,5,60.0,2,3,0,3,7,16,5,0,Matches
227,220,Jan Kuchta,FW,cz Czechia,27-187,1997,1.1,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,2,0,Matches
228,221,Juraj Kucka,MF,sk Slovakia,37-138,1987,3.9,1,1,0,1,0,1,7,14.3,6,3,1,2,2,3,4,0,Matches
229,222,Jasmin Kurtić,FW,si Slovenia,35-185,1989,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
230,223,Khvicha Kvaratskhelia,FW,ge Georgia,23-152,2001,3.8,4,3,0,4,0,3,6,50.0,3,2,2,0,0,4,2,0,Matches
231,224,Nika Kvekveskiri,MF,ge Georgia,32-045,1992,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
232,225,Giorgi Kvilitaia,FW,ge Georgia,30-286,1993,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
234,226,Saba Kvirkvelia,DF,ge Georgia,32-158,1992,2.0,4,3,3,1,0,3,3,100.0,0,2,2,0,1,5,17,1,Matches
235,227,Qazim Laçi,"MF,FW",al Albania,28-176,1996,1.8,4,3,1,2,1,1,2,50.0,1,3,0,3,3,7,5,0,Matches
236,228,Konrad Laimer,"MF,FW",at Austria,27-047,1997,3.0,5,1,2,1,2,3,6,50.0,3,3,0,3,2,7,2,0,Matches
237,229,Ádám Lang,DF,hu Hungary,31-178,1993,0.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,Matches
238,230,Aymeric Laporte,DF,es Spain,30-047,1994,4.8,3,3,2,1,0,2,3,66.7,1,4,3,1,5,8,21,1,Matches
239,231,Robin Le Normand,DF,es Spain,27-245,1996,4.0,6,2,5,1,0,5,8,62.5,3,2,1,1,2,8,11,0,Matches
240,232,Rafael Leão,FW,pt Portugal,25-033,1999,3.2,2,2,2,0,0,1,2,50.0,1,1,0,1,1,3,1,0,Matches
241,233,Robert Lewandowski,FW,pl Poland,35-327,1988,1.3,2,2,0,0,2,0,0,,0,2,0,2,0,2,3,0,Matches
242,234,Philipp Lienhart,DF,at Austria,28-002,1996,2.4,2,2,1,1,0,2,3,66.7,1,2,2,0,2,4,10,0,Matches
243,235,Ondřej Lingr,"MF,FW",cz Czechia,25-280,1998,0.9,2,2,0,2,0,0,1,0.0,1,1,0,1,0,2,0,0,Matches
244,236,Dominik Livaković,GK,hr Croatia,29-186,1995,3.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
245,237,Stanislav Lobotka,MF,sk Slovakia,29-231,1994,4.3,7,6,3,4,0,2,6,33.3,4,3,0,3,3,10,9,0,Matches
246,238,Saba Lobzhanidze,FW,ge Georgia,29-208,1994,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
247,239,Luka Lochoshvili,"DF,MF",ge Georgia,26-045,1998,1.9,4,3,3,0,1,3,5,60.0,2,1,0,1,3,7,11,0,Matches
248,240,Fermin López,MF,es Spain,21-063,2003,0.3,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,Matches
249,241,Romelu Lukaku,FW,be Belgium,31-061,1993,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
250,242,Dodi Lukebakio,"FW,DF",be Belgium,26-293,1997,0.7,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,Matches
251,243,Saša Lukić,MF,rs Serbia,27-335,1996,2.3,8,5,1,5,2,5,6,83.3,1,2,0,2,3,11,5,0,Matches
252,244,Andriy Lunin,GK,ua Ukraine,25-153,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,Matches
253,245,Mike Maignan,GK,fr France,29-010,1995,6.3,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,5,0,Matches
254,246,Kobbie Mainoo,MF,eng England,19-085,2005,3.3,6,4,1,4,1,3,4,75.0,1,0,0,0,6,12,1,0,Matches
255,247,Lovro Majer,"FW,MF",hr Croatia,26-178,1998,1.6,4,3,1,2,1,2,2,100.0,0,4,0,4,0,4,0,0,Matches
256,248,Donyell Malen,FW,nl Netherlands,25-186,1999,2.1,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,Matches
257,249,Ruslan Malinovskyi,MF,ua Ukraine,31-070,1993,0.4,5,1,1,4,0,1,3,33.3,2,1,0,1,1,6,3,0,Matches
258,250,Giorgi Mamardashvili,GK,ge Georgia,23-288,2000,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
260,251,Dennis Man,MF,ro Romania,25-322,1998,3.0,3,0,1,2,0,2,4,50.0,2,0,0,0,1,4,0,0,Matches
261,252,Rey Manaj,FW,al Albania,27-140,1997,1.7,2,2,1,0,1,0,1,0.0,1,0,0,0,1,3,2,0,Matches
262,253,Gianluca Mancini,DF,it Italy,28-087,1996,1.0,0,0,0,0,0,0,0,,0,3,1,2,0,0,1,0,Matches
263,254,Orel Mangala,MF,be Belgium,26-117,1998,1.5,4,3,2,1,1,1,3,33.3,2,2,1,1,4,8,0,0,Matches
264,255,Marius Marin,MF,ro Romania,25-318,1998,3.4,9,3,8,1,0,5,10,50.0,5,4,1,3,4,13,6,0,Matches
265,256,Răzvan Marin,MF,ro Romania,28-051,1996,3.9,7,2,3,4,0,4,9,44.4,5,3,2,1,0,7,6,0,Matches
266,257,Ádám Martin,"FW,DF",hu Hungary,29-250,1994,0.5,0,0,0,0,0,0,0,,0,2,2,0,0,0,0,0,Matches
267,258,Mykola Matviyenko,DF,ua Ukraine,28-072,1996,3.0,4,3,2,2,0,2,4,50.0,2,4,2,2,4,8,9,1,Matches
268,259,Kylian Mbappé,FW,fr France,25-206,1998,5.2,1,0,1,0,0,0,2,0.0,2,4,1,3,0,1,0,0,Matches
269,260,John McGinn,"MF,FW",sct Scotland,29-269,1994,2.6,1,1,0,1,0,1,4,25.0,3,2,0,2,1,2,0,0,Matches
270,261,Callum McGregor,MF,sct Scotland,31-029,1993,2.7,2,1,1,1,0,1,4,25.0,3,2,1,1,2,4,6,0,Matches
271,262,Scott McKenna,DF,sct Scotland,27-244,1996,1.5,1,0,1,0,0,1,2,50.0,1,1,1,0,2,3,5,0,Matches
272,263,Kenny McLean,MF,sct Scotland,32-187,1992,0.5,3,2,1,2,0,3,3,100.0,0,0,0,0,0,3,0,0,Matches
273,264,Scott McTominay,MF,sct Scotland,27-218,1996,3.0,4,2,2,1,1,1,2,50.0,1,2,1,1,3,7,7,0,Matches
274,265,Anzor Mekvabishvili,MF,ge Georgia,23-038,2001,2.1,6,3,3,3,0,3,3,100.0,0,4,1,3,5,11,5,0,Matches
275,266,Memphis,"FW,MF",nl Netherlands,30-151,1994,5.1,1,1,0,1,0,1,4,25.0,3,1,0,1,1,2,1,0,Matches
276,267,Nuno Mendes,DF,pt Portugal,22-024,2002,4.7,12,6,7,3,2,6,11,54.5,5,6,2,4,5,17,11,0,Matches
277,268,Mikel Merino,"MF,FW",es Spain,28-021,1996,2.0,4,3,0,3,1,2,3,66.7,1,2,1,1,2,6,4,0,Matches
278,269,Valentin Mihaila,MF,ro Romania,24-162,2000,1.3,3,2,2,0,1,0,1,0.0,1,0,0,0,2,5,5,0,Matches
279,270,Srđan Mijailović,DF,rs Serbia,30-246,1993,0.8,3,1,1,2,0,3,4,75.0,1,1,0,1,1,4,4,0,Matches
280,271,Georges Mikautadze,FW,ge Georgia,23-256,2000,3.8,3,1,1,2,0,1,4,25.0,3,0,0,0,0,3,0,0,Matches
281,272,Nikola Milenković,DF,rs Serbia,26-275,1997,3.0,3,3,1,2,0,1,2,50.0,1,2,2,0,2,5,11,0,Matches
282,273,Sergej Milinković-Savić,MF,rs Serbia,29-137,1995,1.3,2,2,0,2,0,1,2,50.0,1,1,1,0,1,3,2,0,Matches
283,274,Mario Mitaj,DF,al Albania,20-342,2003,3.0,8,4,6,1,1,8,11,72.7,3,4,0,4,7,15,11,0,Matches
284,275,Aleksandar Mitrović,FW,rs Serbia,29-301,1994,2.7,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,4,0,Matches
286,276,Maximilian Mittelstädt,DF,de Germany,27-117,1997,3.4,4,2,1,1,2,3,5,60.0,2,6,0,6,2,6,8,0,Matches
287,277,Filip Mladenović,DF,rs Serbia,32-333,1991,1.2,2,1,0,1,1,1,5,20.0,4,0,0,0,2,4,1,0,Matches
288,278,Jan Mlakar,MF,si Slovenia,25-264,1998,3.3,3,3,2,1,0,1,2,50.0,1,2,1,1,1,4,9,0,Matches
289,279,Jakub Moder,MF,pl Poland,25-097,1999,2.0,2,2,0,2,0,1,3,33.3,2,3,1,2,1,3,8,0,Matches
290,280,Luka Modrić,MF,hr Croatia,38-308,1985,2.6,4,4,4,0,0,1,2,50.0,1,1,0,1,1,5,1,0,Matches
291,281,Vasile Mogos,DF,ro Romania,31-256,1992,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
292,282,Álvaro Morata,FW,es Spain,31-264,1992,4.2,6,4,1,2,3,0,4,0.0,4,0,0,0,0,6,2,0,Matches
293,283,Lewis Morgan,DF,sct Scotland,27-287,1996,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
294,284,Ernest Muçi,FW,al Albania,23-116,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
295,285,Mykhailo Mudryk,"FW,MF",ua Ukraine,23-190,2001,1.9,2,2,1,0,1,2,4,50.0,2,0,0,0,0,2,1,1,Matches
296,286,Mert Müldür,"DF,MF",tr Türkiye,25-101,1999,3.8,7,6,3,1,3,7,9,77.8,2,8,1,7,5,12,12,0,Matches
297,287,Thomas Müller,"MF,FW",de Germany,34-304,1989,0.6,2,1,1,1,0,1,2,50.0,1,0,0,0,0,2,1,0,Matches
298,288,Jamal Musiala,FW,de Germany,21-138,2003,4.7,6,4,1,4,1,2,3,66.7,1,7,0,7,4,10,2,0,Matches
299,289,Phillipp Mwene,DF,at Austria,30-166,1994,2.2,6,4,3,3,0,3,6,50.0,3,5,2,3,0,6,6,0,Matches
300,290,Vitaliy Mykolenko,DF,ua Ukraine,25-045,1999,0.6,0,0,0,0,0,0,0,,0,2,1,1,0,0,1,0,Matches
301,291,Joakim Mæhle,"DF,MF",dk Denmark,27-054,1997,3.1,6,4,3,2,1,3,8,37.5,5,2,0,2,3,9,5,1,Matches
302,292,Nacho,DF,es Spain,34-177,1990,2.8,2,1,1,1,0,1,3,33.3,2,3,2,1,0,2,15,0,Matches
303,293,Ádám Nagy,MF,hu Hungary,29-026,1995,1.8,3,2,2,1,0,2,2,100.0,0,1,0,1,4,7,3,0,Matches
304,294,Zsolt Nagy,DF,hu Hungary,31-049,1993,0.2,2,0,1,1,0,0,0,,0,0,0,0,0,2,2,0,Matches
305,295,Jesús Navas,DF,es Spain,38-235,1985,1.7,3,2,1,2,0,0,0,,0,2,0,2,1,4,11,0,Matches
306,296,Dan Ndoye,"MF,DF",ch Switzerland,23-262,2000,4.5,5,3,4,1,0,1,2,50.0,1,3,0,3,2,7,2,0,Matches
307,297,Pedro Neto,"DF,FW",pt Portugal,24-126,2000,1.3,5,1,2,2,1,2,2,100.0,0,0,0,0,2,7,1,0,Matches
308,298,Manuel Neuer,GK,de Germany,38-108,1986,5.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
309,299,João Neves,MF,pt Portugal,19-290,2004,0.9,0,0,0,0,0,0,0,,0,1,0,1,5,5,0,0,Matches
310,300,Rúben Neves,MF,pt Portugal,27-122,1997,1.4,3,1,0,2,1,0,1,0.0,1,3,1,2,1,4,1,0,Matches
312,301,Florin Niță,GK,ro Romania,37-010,1987,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
313,302,Matheus Nunes,MF,pt Portugal,25-321,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
314,303,Christian Nørgaard,MF,dk Denmark,30-125,1994,0.4,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
315,304,Adam Obert,DF,sk Slovakia,21-325,2002,0.3,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
316,305,Jan Oblak,GK,si Slovenia,31-188,1993,4.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
317,306,Darius Olaru,MF,ro Romania,26-132,1998,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
318,307,Dani Olmo,"MF,FW",es Spain,26-067,1998,3.8,3,3,1,1,1,3,5,60.0,2,1,0,1,2,5,2,0,Matches
319,308,Amadou Onana,MF,be Belgium,22-332,2001,4.0,8,6,3,4,1,4,5,80.0,1,7,1,6,3,11,4,2,Matches
320,309,Loïs Openda,FW,be Belgium,24-148,2000,0.8,2,1,0,0,2,0,0,,0,1,0,1,1,3,1,0,Matches
321,310,Willi Orban,DF,hu Hungary,31-253,1992,3.0,7,7,7,0,0,3,3,100.0,0,9,7,2,1,8,9,1,Matches
322,311,Mikel Oyarzabal,FW,es Spain,27-083,1997,2.0,1,0,0,0,1,0,0,,0,2,0,2,0,1,4,0,Matches
323,312,Salih Özcan,MF,tr Türkiye,26-184,1998,1.7,6,3,1,5,0,2,3,66.7,1,0,0,0,7,13,4,0,Matches
324,313,João Palhinha,MF,pt Portugal,29-004,1995,3.3,15,9,5,8,2,7,10,70.0,3,6,1,5,8,23,6,0,Matches
325,314,Cole Palmer,"MF,FW",eng England,22-068,2002,1.4,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,0,0,Matches
326,315,Mario Pašalić,"FW,MF",hr Croatia,29-155,1995,1.3,1,0,1,0,0,0,0,,0,0,0,0,0,1,2,0,Matches
327,316,Strahinja Pavlović,DF,rs Serbia,23-050,2001,3.0,11,6,7,3,1,9,14,64.3,5,2,0,2,4,15,10,0,Matches
328,317,Pedri,MF,es Spain,21-231,2002,2.1,6,3,1,4,1,2,4,50.0,2,0,0,0,1,7,0,0,Matches
329,318,Peter Pekarík,DF,sk Slovakia,37-257,1986,4.2,1,0,1,0,0,1,4,25.0,3,4,3,1,7,8,11,0,Matches
330,319,Lorenzo Pellegrini,"FW,MF",it Italy,28-024,1996,2.4,2,0,1,1,0,1,4,25.0,3,3,0,3,2,4,2,0,Matches
331,320,Patrick Pentz,GK,at Austria,27-193,1997,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
332,321,Pepe,DF,pt Portugal,41-138,1983,4.5,9,5,5,3,1,7,13,53.8,6,3,2,1,5,14,26,1,Matches
333,322,Danilo Pereira,DF,pt Portugal,32-308,1991,1.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
334,323,Ayoze Pérez,FW,es Spain,30-350,1993,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
335,324,Ivan Perišić,"DF,FW",hr Croatia,35-162,1989,1.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0,Matches
336,325,Bruno Petković,FW,hr Croatia,29-301,1994,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
338,326,Krzysztof Piątek,FW,pl Poland,29-012,1995,0.7,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
339,327,Jordan Pickford,GK,eng England,30-128,1994,6.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
340,328,Jakub Piotrowski,MF,pl Poland,26-283,1997,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
341,329,Marin Pongračić,DF,hr Croatia,26-306,1997,2.0,2,1,2,0,0,0,4,0.0,4,6,3,3,2,4,9,0,Matches
342,330,Ryan Porteous,DF,sct Scotland,25-110,1999,0.5,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,1,0,Matches
343,331,Stefan Posch,DF,at Austria,27-060,1997,4.0,15,9,4,8,3,9,13,69.2,4,11,4,7,6,21,11,0,Matches
344,332,Yussuf Poulsen,"FW,MF",dk Denmark,30-028,1994,0.6,1,0,0,0,1,1,2,50.0,1,1,0,1,0,1,1,0,Matches
345,333,Alexander Prass,DF,at Austria,23-048,2001,1.8,7,2,4,2,1,4,10,40.0,6,1,0,1,2,9,1,0,Matches
346,334,Lukáš Provod,MF,cz Czechia,27-264,1996,2.6,5,5,2,1,2,3,5,60.0,2,3,1,2,0,5,2,0,Matches
347,335,George Pușcaș,FW,ro Romania,28-096,1996,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
348,336,Leopold Querfeld,DF,at Austria,20-206,2003,0.3,2,2,1,1,0,2,2,100.0,0,0,0,0,1,3,1,0,Matches
349,337,Adrien Rabiot,MF,fr France,29-101,1995,4.1,9,5,3,5,1,4,5,80.0,1,3,0,3,1,10,2,0,Matches
350,338,Bogdan Racovitan,DF,ro Romania,24-037,2000,0.6,0,0,0,0,0,0,1,0.0,1,2,2,0,1,1,3,1,Matches
351,339,Predrag Rajković,GK,rs Serbia,28-256,1995,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
352,340,Anthony Ralston,DF,sct Scotland,25-240,1998,2.9,3,2,3,0,0,1,3,33.3,2,5,1,4,1,4,7,1,Matches
353,341,Ylber Ramadani,MF,al Albania,28-092,1996,2.9,6,3,2,3,1,5,9,55.6,4,8,3,5,4,10,4,0,Matches
354,342,Gonçalo Ramos,FW,pt Portugal,23-023,2001,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
355,343,Giacomo Raspadori,FW,it Italy,24-146,2000,0.9,3,1,1,2,0,1,2,50.0,1,0,0,0,0,3,0,0,Matches
356,344,Andrei Ratiu,DF,ro Romania,26-023,1998,4.0,6,5,4,2,0,4,5,80.0,1,6,2,4,6,12,15,0,Matches
357,345,David Raum,DF,de Germany,26-082,1998,1.8,5,5,3,1,1,5,7,71.4,2,1,0,1,0,5,1,0,Matches
358,346,David Raya,GK,es Spain,28-302,1995,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
359,347,Tijjani Reijnders,MF,nl Netherlands,25-350,1998,5.5,8,6,1,7,0,3,5,60.0,2,5,1,4,6,14,4,0,Matches
360,348,Mateo Retegui,FW,it Italy,25-075,1999,1.7,2,1,0,1,1,0,1,0.0,1,1,0,1,0,2,0,0,Matches
361,349,Declan Rice,MF,eng England,25-181,1999,6.7,18,14,10,6,2,5,8,62.5,3,3,0,3,6,24,10,0,Matches
362,350,Fabian Rieder,MF,ch Switzerland,22-148,2002,2.4,7,3,1,4,2,3,5,60.0,2,2,1,1,0,7,1,0,Matches
364,351,Andrew Robertson,DF,sct Scotland,30-124,1994,3.0,8,5,4,4,0,8,10,80.0,2,2,0,2,1,9,10,1,Matches
365,352,Rodri,MF,es Spain,28-021,1996,5.3,13,7,4,8,1,4,8,50.0,4,5,2,3,0,13,10,0,Matches
366,353,Ricardo Rodríguez,DF,ch Switzerland,31-323,1992,5.3,7,6,2,3,2,3,4,75.0,1,5,2,3,3,10,19,0,Matches
367,354,Taras Romanchuk,MF,pl Poland,32-242,1991,0.6,2,1,2,0,0,1,2,50.0,1,1,0,1,0,2,1,0,Matches
368,355,Cristiano Ronaldo,FW,pt Portugal,39-159,1985,5.4,1,1,0,0,1,1,1,100.0,0,1,1,0,0,1,1,0,Matches
369,356,Antonio Rüdiger,DF,de Germany,31-132,1993,5.3,8,4,7,1,0,6,6,100.0,0,10,6,4,2,10,20,0,Matches
370,357,Fabián Ruiz Peña,MF,es Spain,28-101,1996,5.0,5,2,3,0,2,2,5,40.0,3,1,0,1,4,9,5,1,Matches
371,358,Adrian Rus,MF,ro Romania,28-117,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
372,359,Marcel Sabitzer,"FW,MF",at Austria,30-118,1994,4.0,2,1,0,1,1,2,2,100.0,0,2,0,2,3,5,1,0,Matches
373,360,Bukayo Saka,"FW,DF",eng England,22-312,2001,6.0,5,4,2,3,0,2,3,66.7,1,5,0,5,1,6,11,0,Matches
374,361,Bartosz Salamon,DF,pl Poland,33-073,1991,0.9,3,2,2,1,0,2,2,100.0,0,1,0,1,2,5,7,0,Matches
375,362,William Saliba,DF,fr France,23-111,2001,6.3,5,2,3,2,0,2,3,66.7,1,6,3,3,4,9,30,0,Matches
376,363,Roland Sallai,MF,hu Hungary,27-052,1997,3.0,4,2,1,1,2,1,2,50.0,1,0,0,0,1,5,1,0,Matches
377,364,Lazar Samardzic,MF,rs Serbia,22-140,2002,0.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
378,365,Leroy Sané,FW,de Germany,28-184,1996,2.3,1,1,1,0,0,0,5,0.0,5,2,0,2,0,1,0,0,Matches
379,366,Leo Sauer,FW,sk Slovakia,18-210,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
380,367,Gianluca Scamacca,FW,it Italy,25-194,1999,2.8,1,1,0,0,1,0,0,,0,0,0,0,2,3,1,0,Matches
381,368,András Schäfer,MF,hu Hungary,25-091,1999,3.0,6,3,0,6,0,1,3,33.3,2,4,1,3,1,7,3,0,Matches
382,369,Fabian Schär,DF,ch Switzerland,32-206,1991,5.3,10,4,7,0,3,4,7,57.1,3,6,4,2,9,19,24,0,Matches
383,370,Patrik Schick,FW,cz Czechia,28-171,1996,1.4,1,1,1,0,0,0,3,0.0,3,1,0,1,1,2,4,0,Matches
384,371,Nico Schlotterbeck,DF,de Germany,24-225,1999,1.3,1,1,0,1,0,0,2,0.0,2,1,0,1,2,3,8,1,Matches
385,372,Kasper Schmeichel,GK,dk Denmark,37-251,1986,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
386,373,Romano Schmid,"FW,MF",at Austria,24-168,2000,1.6,2,1,0,1,1,1,3,33.3,2,6,0,6,0,2,2,0,Matches
387,374,Jerdy Schouten,MF,nl Netherlands,27-183,1997,5.6,7,3,2,4,1,1,5,20.0,4,5,2,3,5,12,8,0,Matches
388,375,Ivan Schranz,FW,sk Slovakia,30-304,1993,3.7,3,1,3,0,0,1,3,33.3,2,0,0,0,2,5,9,0,Matches
390,376,Taulant Seferi,FW,al Albania,27-241,1996,1.0,2,2,0,2,0,2,5,40.0,3,0,0,0,2,4,2,0,Matches
391,377,Nicolas Seiwald,MF,at Austria,23-070,2001,4.0,15,7,5,8,2,4,11,36.4,7,5,1,4,6,21,8,0,Matches
392,378,Nélson Semedo,DF,pt Portugal,30-240,1993,1.1,3,2,2,1,0,2,6,33.3,4,1,0,1,0,3,0,0,Matches
393,379,Benjamin Šeško,FW,si Slovenia,21-043,2003,4.0,3,1,1,1,1,1,5,20.0,4,3,1,2,0,3,5,0,Matches
394,380,Petr Ševčík,MF,cz Czechia,30-070,1994,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
395,381,Stephan El Shaarawy,FW,it Italy,31-260,1992,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
396,382,Lawrence Shankland,FW,sct Scotland,28-338,1995,0.3,1,0,1,0,0,1,1,100.0,0,2,0,2,0,1,1,0,Matches
397,383,Mykola Shaparenko,MF,ua Ukraine,25-283,1998,2.4,3,0,2,1,0,3,4,75.0,1,4,0,4,3,6,1,0,Matches
398,384,Xherdan Shaqiri,"MF,FW",ch Switzerland,32-277,1991,0.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
399,385,Luke Shaw,DF,eng England,29-001,1995,1.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,Matches
400,386,Vincent Sierro,MF,ch Switzerland,28-279,1995,0.4,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,0,Matches
